what,kind,bundleId,bundleVersion,description,time
userinfo,misc,,,"{""account.name"":""nsaw"",""localhost.hostname"":""NSAW-M-R0YR"",""runtime.hostname"":""NSAW-M-R0YR""}",1539861309367
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1539861309371
os,sysinfo,,,"macosx",1539861309374
arch,sysinfo,,,"x86_64",1539861309374
ws,sysinfo,,,"cocoa",1539861309374
locale,sysinfo,,,"en_IN",1539861309374
processors,sysinfo,,,"8",1539861309374
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1539861309374
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1539861309374
java.specification.name,sysinfo,,,"Java Platform API Specification",1539861309374
java.specification.vendor,sysinfo,,,"Oracle Corporation",1539861309374
java.specification.version,sysinfo,,,"1.8",1539861309374
java.vendor,sysinfo,,,"Oracle Corporation",1539861309374
java.version,sysinfo,,,"1.8.0_181",1539861309374
java.vm.info,sysinfo,,,"mixed mode",1539861309374
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1539861309374
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1539861309374
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1539861309374
java.vm.specification.version,sysinfo,,,"1.8",1539861309374
java.vm.vendor,sysinfo,,,"Oracle Corporation",1539861309374
java.vm.version,sysinfo,,,"25.181-b13",1539861309374
os.name,sysinfo,,,"Mac OS X",1539861309374
os.version,sysinfo,,,"10.13.6",1539861309374
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.import",1539861345533
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.import",1539861345533
opened,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1539861377370
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1539861377760
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.copy",1539861388321
closed,view,org.eclipse.wst.server.ui,,"org.eclipse.wst.server.ui.ServersView",1539861410069
closed,view,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.PackageExplorer",1539861410094
closed,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ProblemView",1539861410110
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1539861410119
closed,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1539861410143
userinfo,misc,,,"{""account.name"":""nsaw"",""localhost.hostname"":""NSAW-M-R0YR"",""runtime.hostname"":""NSAW-M-R0YR""}",1541563875042
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1541563875044
os,sysinfo,,,"macosx",1541563875048
arch,sysinfo,,,"x86_64",1541563875048
ws,sysinfo,,,"cocoa",1541563875048
locale,sysinfo,,,"en_IN",1541563875048
processors,sysinfo,,,"8",1541563875048
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1541563875048
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1541563875048
java.specification.name,sysinfo,,,"Java Platform API Specification",1541563875048
java.specification.vendor,sysinfo,,,"Oracle Corporation",1541563875048
java.specification.version,sysinfo,,,"1.8",1541563875048
java.vendor,sysinfo,,,"Oracle Corporation",1541563875048
java.version,sysinfo,,,"1.8.0_181",1541563875048
java.vm.info,sysinfo,,,"mixed mode",1541563875048
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1541563875048
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1541563875048
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1541563875048
java.vm.specification.version,sysinfo,,,"1.8",1541563875048
java.vm.vendor,sysinfo,,,"Oracle Corporation",1541563875048
java.vm.version,sysinfo,,,"25.181-b13",1541563875048
os.name,sysinfo,,,"Mac OS X",1541563875048
