what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.community.tigerstripePerspective",1543999619309
os,sysinfo,,,"macosx",1543999619313
arch,sysinfo,,,"x86_64",1543999619313
ws,sysinfo,,,"cocoa",1543999619313
locale,sysinfo,,,"en_IN",1543999619313
processors,sysinfo,,,"8",1543999619313
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1543999619313
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1543999619313
java.specification.name,sysinfo,,,"Java Platform API Specification",1543999619313
java.specification.vendor,sysinfo,,,"Oracle Corporation",1543999619313
java.specification.version,sysinfo,,,"1.8",1543999619313
java.vendor,sysinfo,,,"Oracle Corporation",1543999619313
java.version,sysinfo,,,"1.8.0_181",1543999619313
java.vm.info,sysinfo,,,"mixed mode",1543999619313
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1543999619313
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1543999619313
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1543999619313
java.vm.specification.version,sysinfo,,,"1.8",1543999619313
java.vm.vendor,sysinfo,,,"Oracle Corporation",1543999619313
java.vm.version,sysinfo,,,"25.181-b13",1543999619313
os.name,sysinfo,,,"Mac OS X",1543999619313
os.version,sysinfo,,,"10.14.1",1543999619313
userinfo,misc,,,"{""account.name"":""nsaw"",""localhost.hostname"":""NSAW-M-R0YR"",""runtime.hostname"":""NSAW-M-R0YR""}",1543999619487
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1543999624063
no handler,command,org.eclipse.ui,,"org.eclipse.ui.edit.copy",1543999626545
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1544009899067
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1544009905532
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1544009987084
executed,command,org.eclipse.ui,,"org.eclipse.ui.edit.delete",1544009992666
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1544010039875
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1544010045369
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1544010045769
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1544010046611
opened,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.descriptorEditor",1544010047366
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.descriptorEditor",1544010047396
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1544010063104
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1544010063429
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1544063848720
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.descriptorEditor",1544071701294
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1544071726262
activated,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.descriptorEditor",1544156015210
closed,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1544158754106
closed,view,org.eclipse.ui.ide,,"org.eclipse.ui.views.ProblemView",1544158754287
closed,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.ossj.entityEditor",1544158754363
closed,editor,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.ui.eclipse.editors.descriptorEditor",1544158754425
userinfo,misc,,,"{""account.name"":""nsaw"",""localhost.hostname"":""NSAW-M-R0YR"",""runtime.hostname"":""NSAW-M-R0YR""}",1559563619690
activated,perspective,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.community.tigerstripePerspective",1559563619694
os,sysinfo,,,"macosx",1559563619698
arch,sysinfo,,,"x86_64",1559563619698
ws,sysinfo,,,"cocoa",1559563619698
locale,sysinfo,,,"en_IN",1559563619698
processors,sysinfo,,,"8",1559563619698
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1559563619698
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1559563619698
java.specification.name,sysinfo,,,"Java Platform API Specification",1559563619698
java.specification.vendor,sysinfo,,,"Oracle Corporation",1559563619698
java.specification.version,sysinfo,,,"1.8",1559563619698
java.vendor,sysinfo,,,"Oracle Corporation",1559563619698
java.version,sysinfo,,,"1.8.0_181",1559563619698
java.vm.info,sysinfo,,,"mixed mode",1559563619698
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1559563619698
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1559563619698
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1559563619698
java.vm.specification.version,sysinfo,,,"1.8",1559563619698
java.vm.vendor,sysinfo,,,"Oracle Corporation",1559563619698
java.vm.version,sysinfo,,,"25.181-b13",1559563619698
os.name,sysinfo,,,"Mac OS X",1559563619698
os.version,sysinfo,,,"10.14.2",1559563619698
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1559563621155
executed,command,org.eclipse.m2e.launching,,"org.eclipse.m2e.actions.LifeCycleInstall.run",1559563629934
opened,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1559563631539
activated,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1559563648861
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1559563654676
opened,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1559563659171
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1559563659322
activated,view,org.eclipse.tigerstripe.workbench.ui.base,,"org.eclipse.tigerstripe.workbench.views.artifactExplorerViewNew",1559563670405
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1559564147215
executed,command,org.eclipse.ui,,"org.eclipse.ui.newWizard",1559564155155
executed,command,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.navigate.open.type",1559564188841
executed,command,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.edit.text.java.toggleBreadcrumb",1559564218383
executed,command,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.navigate.open.type",1559564228239
executed,command,org.eclipse.ui.externaltools,,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1559564236023
activated,editor,org.eclipse.m2e.editor,,"org.eclipse.m2e.editor.MavenPomEditor",1559564239382
closed,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1559564239416
executed,command,org.eclipse.ui,,"org.eclipse.ui.file.close",1559564239440
